Transaction Date,Description 1,Description 2,CAD$
01/01/2026,DEPOSIT-PAYROLL,Salary deposit,4200
01/01/2026,INTERAC e-Transfer from PATEL R,Monthly retainer,1500
01/01/2026,AWS CANADA,Cloud hosting,-145.0
01/03/2026,INTERAC e-Transfer from CHEN W,Project payment,2500
01/03/2026,WEWORK CANADA,Office space,-450.0
01/03/2026,CANADA POST,Shipping,-15.5
01/05/2026,INTERAC e-Transfer from CHEN W,Project payment,2500
01/05/2026,AWS CANADA,Cloud hosting,-145.0
01/05/2026,STAPLES BUSINESS,Office supplies,-67.3
01/07/2026,ROGERS CABLE,Internet,-99.99
01/07/2026,INTERAC e-Transfer from TECH CORP,Software dev,3500
01/07/2026,INTERAC e-Transfer from JOHNSON M,Consulting fee,1200
01/09/2026,TELUS MOBILITY,Phone plan,-85.0
01/09/2026,INTERAC e-Transfer from SMITH J,Client payment,850
01/09/2026,INTERAC e-Transfer from TECH CORP,Software dev,3500
01/11/2026,MONTHLY FEE,Bank service fee,-4.95
01/11/2026,QUICKBOOKS ONLINE,Accounting software,-40.0
01/11/2026,INSURANCE-MANULIFE,Business insurance,-125.0
01/13/2026,STAPLES BUSINESS,Office supplies,-67.3
01/13/2026,INTERAC e-Transfer from SMITH J,Client payment,850
01/13/2026,MONTHLY FEE,Bank service fee,-4.95
01/15/2026,DEPOSIT-PAYROLL,Salary deposit,4200
01/15/2026,MONTHLY FEE,Bank service fee,-4.95
01/15/2026,INTERAC e-Transfer from SMITH J,Client payment,850
01/17/2026,DEPOSIT-GOVERNMENT OF CANADA,HST refund,1876.5
01/17/2026,STAPLES BUSINESS,Office supplies,-67.3
01/17/2026,DEPOSIT-PAYROLL,Salary deposit,4200
01/19/2026,INTERAC e-Transfer from SMITH J,Client payment,850
01/19/2026,INSURANCE-MANULIFE,Business insurance,-125.0
01/19/2026,DEPOSIT-GOVERNMENT OF CANADA,HST refund,1876.5
01/21/2026,HYDRO ONE,Electricity,-112.0
01/21/2026,INTERAC e-Transfer from JOHNSON M,Consulting fee,1200
01/21/2026,INTERAC e-Transfer from TECH CORP,Software dev,3500
01/23/2026,INTERAC e-Transfer from JOHNSON M,Consulting fee,1200
01/23/2026,TELUS MOBILITY,Phone plan,-85.0
01/23/2026,INSURANCE-MANULIFE,Business insurance,-125.0
01/25/2026,INTERAC e-Transfer from CHEN W,Project payment,2500
01/25/2026,CANADA POST,Shipping,-15.5
01/25/2026,ROGERS CABLE,Internet,-99.99
01/27/2026,STAPLES BUSINESS,Office supplies,-67.3
01/27/2026,MONTHLY FEE,Bank service fee,-4.95
01/27/2026,AWS CANADA,Cloud hosting,-145.0
02/01/2026,MONTHLY FEE,Bank service fee,-4.95
02/01/2026,WEWORK CANADA,Office space,-450.0
02/01/2026,INTERAC e-Transfer from PATEL R,Monthly retainer,1500
02/03/2026,INTERAC e-Transfer from PATEL R,Monthly retainer,1500
02/03/2026,DEPOSIT-PAYROLL,Salary deposit,4200
